;genre;hash;histmax;histmed;histstd
0;country;04ffe287-7122-4430-b572-7a84db4d8066;36;22.0;4096.267412516394
1;country;0cc7ea8e-1f5b-4b9a-a054-e2c9ab8a28cd;0;613.5;1480.7115279169843
2;pop;0de30e42-1f0a-4591-b72f-5343fa6002e9;254;282.0;6015.790338961602
3;pop;1bd0e357-042b-4bd4-a35a-3cb12092b4b0;131;536.5;1359.4095124929243
4;pop;2bc08829-389a-40b7-b644-dcbd59e50512;28;1198.0;550.5234973130121
5;country;3b4fbc80-3286-416d-ae32-35b96a4deab1;42;870.0;762.7733193542823
6;country;5b1aacf4-6990-4301-981d-bba0d8683e7b;8;166.0;2349.846373801647
7;pop;5f4b6757-6712-4f9b-885c-3ba76b850b77;251;386.0;1711.122218339108
8;pop;6e5fe8df-c66c-412d-97d7-2ace0f9af571;7;232.5;4932.059309776825
9;country;7bf8d5e5-8509-4289-b8a8-c6f53d157803;190;567.0;1162.4280236454426
10;hip-hop;a1000d58-73b8-41cc-958b-e221dde8b8ce;217;504.5;941.9126381829421
11;hip-hop;ae103b0a-b932-4009-acb6-388db1cf890b;248;474.0;1266.1130278212725
12;hip-hop;b105debf-2ace-4f5d-ad98-b62253c38348;228;684.5;862.0147706644881
13;hip-hop;b2c1bd3f-b0b1-49c7-ae5b-b5a01057a9e5;9;811.0;535.3196876341743
14;hip-hop;c86cab28-4f26-4949-8cdd-115eb6d16509;173;712.5;946.8452119901912
