	genre	hash	histmax	histmed	histstd	faces
0	hip-hop	1193941c-de68-3299-95b9-87b0922e27b0	0	0.0	5997.440878395029	2
1	country	28d79e63-2e5a-404d-b95f-f1b383babcfe	0	0.0	6576.824687099676	2
2	country	3950d762-f987-46ac-8044-86d90e40dd5d	255	0.0	5848.6146105963635	0
3	rock	3f6ba929-ff4a-4af8-a896-2803ca3112c0	0	0.0	6275.415195738547	0
4	rock	491ded48-ec70-42cd-bba3-7fc4b0115f56	0	0.0	10347.060752825231	0
5	country	498f132b-c8a3-4d51-a906-367704f692ae	255	0.0	6138.1468838704695	0
6	electronic	55267b7f-24b1-3180-b988-4990e07f88c8	0	0.0	6059.885087155633	0
7	hip-hop	67ebbc43-0415-4a07-90b9-3f8f8be296eb	0	0.0	10888.541960222741	2
8	electronic	83219409-a39c-3c3c-9928-06f0eac04423	0	0.0	6555.707103654513	1
9	pop	912a8e16-3730-46e4-847d-dfba119df13a	255	0.0	6004.880329976922	0
10	country	d7bd5278-6a18-4542-a1be-34ab59d050b7	255	0.0	5933.789575850222	0
11	rock	d8e9e0f9-7ced-4176-a935-cfac17409d10	0	0.0	6384.589397097612	0
12	country	f4afbe11-984e-4865-9677-b244dce5c8ed	0	0.0	8803.016426158636	4
13	electronic	052c18c4-2fd7-4be8-bf9e-c538d131a039	255	0.0	7360.770384432852	0
14	country	1174e529-a321-4a65-8c02-6dcbd573a383	0	0.0	6053.662781673485	0
15	country	18116341-4a97-4bf5-8a21-f40dbf3904dc	255	0.0	6100.3017007229855	0
16	country	209058f3-4f55-4be0-81c4-a5c4f9ad9934	0	0.0	5912.307599604722	3
17	electronic	2369662f-fa9a-4d51-b68e-00133f6a32fe	0	0.0	6889.767986104012	4
18	hip-hop	23933dbe-e90d-4c83-b9f8-286039b4c2d7	0	0.0	6211.085695087353	1
19	country	29adc87d-8df0-4a66-8e26-10cb67a9461d	255	0.0	6111.678234318602	0
20	electronic	34d4362f-941e-461c-b994-792e0dff242d	255	0.0	7729.756656755519	0
21	country	4006541b-afd8-4687-ae31-7195d9d92e91	0	0.0	5945.677458574947	0
22	rock	4349b090-8599-4151-b5ba-a94ac327933c	0	0.0	6305.040260267476	0
23	country	4362b319-05ad-4923-a9fe-20240eb7b174	255	0.0	6121.332042346358	0
24	country	464721f0-91a9-42fc-b286-904106fce287	255	0.0	5840.191743895807	3
25	rock	466c6528-69ca-4536-b12b-ada285318dd6	255	0.0	5875.136995410724	1
26	country	754faecf-8687-4e02-9fd3-e1165d8b7f28	0	0.0	5833.234491164079	1
27	rock	7f113627-ef05-4c70-aa80-8ca90e15df4c	0	0.0	7183.7657111690905	0
28	country	9b125676-b2fc-4eaa-baf0-366fbbca2c2b	0	0.0	6724.43974751568	2
29	pop	9b859598-af45-3927-9d2a-a8581d143b4f	0	0.0	8496.302073135626	0
30	rock	9be99ebf-9486-4981-a13b-d1c960bc9ca7	0	0.0	6246.933758165381	0
31	electronic	9d5166bc-4369-3192-86b9-859d77dec9ae	255	0.0	10039.395624823177	1
32	hip-hop	a9aff52b-0475-4c15-a4fa-117886c99a06	0	0.0	6327.978233791876	2
33	pop	ae97eb23-501f-478f-9d1f-258094d7e47f	0	0.0	6790.643336088912	0
34	pop	cb35a21f-f597-439a-99ae-4184a2c2d3bf	255	0.0	5962.662479769942	0
35	rock	cd6100f2-cbbe-3703-916b-d3e35d9efd4a	255	0.0	5849.558272251739	3
36	hip-hop	06936d3f-551a-4f49-a717-148f5471ddee	0	0.0	7429.203885416911	0
37	rock	15ad6386-d33b-480d-aca2-39b22526de23	0	0.0	6606.818102642622	1
38	rock	1a7189e6-b410-49d5-b064-69b173f0aeeb	0	0.0	6007.468551272761	0
39	pop	2bd73f2b-9d42-4ea9-b5b2-1c91ad87a692	255	0.0	10926.025460847772	0
40	hip-hop	6d8ae022-8687-46ed-8755-045f73494fee	0	0.0	6434.140201823298	1
41	rock	708d027e-cd22-3470-a60e-1aec146a18a1	0	0.0	6308.599540322421	0
42	hip-hop	7d7aa4f7-8165-4dfb-b073-b0e1e1b8845a	0	0.0	5950.951849087359	1
43	country	808f4d7e-64ab-4e3a-8826-94d46c3451d1	255	0.0	6477.813075884002	1
44	electronic	85a9de98-ebe4-4134-81ed-ccd8d4b5cfeb	0	0.0	6420.6288818371395	0
45	pop	8ca6058f-f7da-4106-9e9e-b2c00e2ba1ea	0	0.0	6139.439018105095	0
46	rock	cff373a4-a3f5-47f1-9ae2-17f48e96f55a	255	0.0	7976.824970216455	0
47	rock	d7471394-4eab-4a27-8b21-65024c07e753	0	0.0	5903.2376964494015	0
48	electronic	efa36c3d-2e8a-4cab-b3c5-32d12b3f07b0	0	0.0	6254.325047579575	1
49	country	002877ac-67ec-49c0-b12f-68bc9b4ee1af	0	0.0	6002.7885970943735	1
50	country	04b56b33-9dc4-4cb6-90db-a7717f5d3cda	255	0.0	5981.087648985237	1
51	country	06dac49b-a000-40c6-a4bc-0d9105cbed28	0	0.0	9361.057149544129	1
52	rock	09a7cf2a-c5f0-4d60-b98d-7cb2dc085128	255	0.0	6265.062998797877	0
53	country	1932563f-b7ac-43db-9b35-01bd11fd5299	0	0.0	10275.249533732442	1
54	rock	3a07b127-5dd2-4133-9e84-e1d9d55eafc0	255	0.0	5837.8132413949525	5
55	hip-hop	40cc2ee1-0dcc-49f2-aa88-881cfc64c4be	0	0.0	6897.483651496121	0
56	pop	4d30c9fb-512a-48d8-9a27-55314e788c23	0	0.0	5918.087833537851	0
57	rock	52ff2a91-e2c9-3045-9dff-879dd4864426	0	0.0	5895.025480026041	1
58	country	5b426b12-332e-49cc-a1a3-d921c668d095	255	0.0	5995.3378465713895	1
59	electronic	5c3608b9-c1a6-3279-aade-3a408d8ed9b5	0	0.0	6433.183615721981	0
60	pop	610c553f-6d11-4427-bf0b-77226960b901	0	0.0	6835.284305364061	1
61	pop	61a92fac-a3a9-43a5-97f4-fc79e6e44cdd	0	0.0	6253.424090485848	0
62	rock	691e8098-5ca0-4a6a-af1f-256d2fc79d10	0	0.0	5876.425521535711	1
63	pop	8068e914-f3a9-4e3c-a9dd-511ec459a626	255	0.0	5849.992184489972	2
64	hip-hop	846f3d24-9006-4ef3-9f4e-ef13317d98a0	255	0.0	7093.333646647127	0
65	rock	89f28dd9-568d-45aa-8a3b-15389bcb81f4	0	0.0	6848.197302997428	1
66	electronic	9fe3276e-e7a2-4364-bc36-09704613360b	0	0.0	5865.941757230356	0
67	hip-hop	ab48b1da-7190-4f3a-b1c3-78b4778128a7	0	0.0	6019.990437142011	0
68	pop	ae9f317a-a627-4f97-a3b3-72ac73801344	0	0.0	7273.278131444153	0
69	hip-hop	cb7ed05e-0466-42af-8f0e-9766f46c1c17	0	0.0	5844.347957709333	0
70	pop	deceeaef-f03d-4c62-af31-5caf7482898b	0	0.0	5839.014073253828	2
71	country	f76fa63b-7797-46e1-949c-b646b2cc9fe8	0	0.0	6586.8500963211745	1
72	pop	01b387c3-0977-47a4-8def-1aae48b79447	0	0.0	5846.401251851968	1
73	hip-hop	04949aa9-ed92-4520-a33c-b7b6b4b3f7c6	255	0.0	6113.395293265335	0
74	country	08f7953d-4f06-45c5-8b2f-e837c1d0375c	0	0.0	5825.501458766767	0
75	pop	22384986-46ce-4582-b388-bd90571a547c	0	0.0	5871.63631599776	0
76	electronic	2c781a00-943e-42f0-a4a0-a26559811a41	0	0.0	5868.946977192225	0
77	electronic	3ddee01e-da2e-438e-b353-8fa3dab246de	0	0.0	12596.589154379004	0
78	country	637df077-d40a-4e72-bc02-9ace96cd3564	255	0.0	6443.259381480095	1
79	hip-hop	669e7e2a-e1f9-49f9-972b-0e96ccf60ddc	0	0.0	6051.517736730906	0
80	hip-hop	707c7c8a-b092-4af9-abf4-2332471cb426	0	0.0	5865.958068260781	0
81	hip-hop	7bdec870-d321-4b69-a424-35d5e67ce442	0	0.0	6813.166213124135	0
82	country	8bd26f90-a889-4824-9cc7-74e2393707a6	0	0.0	7592.672773645408	1
83	electronic	96316bce-982a-495d-9921-2494acd756f3	0	0.0	6738.126337132323	0
84	hip-hop	97410570-1112-465d-9eff-2e721e57e738	0	0.0	6084.006471569022	1
85	electronic	9b55b5f1-4ecf-49ef-8c13-442b01f8f8bc	255	0.0	6774.403713093038	1
86	electronic	a65038f6-3936-4681-ade5-6f32cfa9487d	255	0.0	5840.803554319923	0
