,genre,hash,histmax_b,histmax_g,histmax_r,histmed_b,histmed_g,histmed_r,histstd_b,histstd_g,histstd_r
0,country,e022d75b-efad-4e5d-a192-970888da9532,0,0,0,2012.0,740.0,1063.0,0.0,0.0,0.0
1,pop,db04b015-973a-4fe4-8b1a-2ac0ce0a248e,0,0,0,191.0,3.0,1.0,0.0,0.0,0.0
2,hip-hop,fea30be1-e7c0-4fd2-ae80-c8d06c8d6326,0,0,0,7765.0,2454.0,3603.0,0.0,0.0,0.0
3,country,254c7aa0-83c4-4ad0-9cb6-39cdff4934dd,0,0,0,3196.0,938.0,218.0,0.0,0.0,0.0
4,country,f943cb70-14b3-4243-8144-1ad83a01aaa9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,pop,9a1e5f83-4be0-48ff-8477-dce2e73a2ace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,rock,a5f6128e-491b-3f5e-b9e4-21b4166eb5bc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,hip-hop,3a2c6c46-5b25-4690-8bde-d4ce9f4d211f,0,0,0,2325.0,336.0,1570.0,0.0,0.0,0.0
8,hip-hop,0584c25b-a8a9-4f0a-8e1b-2ad1549e5ffe,0,0,0,13707.0,8471.0,6508.0,0.0,0.0,0.0
9,hip-hop,25b6299e-1ab1-440b-b204-5306b399d5c6,0,0,0,2608.0,7456.0,6472.0,0.0,0.0,0.0
10,country,7b4dbfb2-0a09-44f2-9b6f-be5578f0b534,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0
11,hip-hop,fec9289e-3a84-4f9f-9553-3d91c2d27ad7,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0
12,rock,30214efe-bc85-48c3-b5a1-39d50fd3dd11,0,0,0,492.0,238.0,87341.0,0.0,0.0,0.0
13,country,72c77ef7-aa04-44b2-ada4-ebb718bf53ac,0,0,0,28.0,0.0,0.0,0.0,0.0,0.0
14,hip-hop,1915dbf5-31f1-486d-891d-9bdc92935cd9,0,0,0,40379.0,37907.0,30019.0,0.0,0.0,0.0
15,hip-hop,55c24dc9-d6bf-4fd6-b306-2b3f40c62927,0,0,0,157.0,13.0,3.0,0.0,0.0,0.0
16,electronic,73bb810c-5d15-45ef-8de9-65e38b1238f6,0,0,0,11.0,14.0,10.0,0.0,0.0,0.0
17,country,32eace38-f6b5-477b-9b6a-6370775ebf7b,0,0,0,1210.0,1066.0,1007.0,0.0,0.0,0.0
18,rock,bbf6ecfb-cb4f-401c-9d05-2b6c22d1366d,0,0,0,6642.0,13.0,5406.0,0.0,0.0,0.0
19,country,d21770fe-5235-4bba-9289-f8e3c2b39282,0,0,0,4663.0,3401.0,1298.0,0.0,0.0,0.0
20,electronic,f4bf1058-372d-42c2-bcd0-d1a501cf1428,0,0,0,2.0,3.0,0.0,0.0,0.0,0.0
21,country,aae883ce-905d-4b1b-8440-037e4102bf7a,0,0,0,1261.0,13.0,0.0,0.0,0.0,0.0
22,rock,6ac5b964-34b5-4609-bfd6-c2aebc5cdebe,0,0,0,23596.0,21133.0,20558.0,0.0,0.0,0.0
23,country,06dac49b-a000-40c6-a4bc-0d9105cbed28,0,0,0,103733.0,105316.0,105169.0,0.0,0.0,0.0
24,electronic,34d4362f-941e-461c-b994-792e0dff242d,0,0,0,2206.0,23.0,0.0,0.0,0.0,0.0
25,electronic,af3388d9-3416-4dfc-9453-8927f5b0a0bf,0,0,0,331.0,0.0,0.0,0.0,0.0,0.0
26,rock,e99114cc-85a3-4923-af1d-fab56aebdfd9,0,0,0,2872.0,465.0,3056.0,0.0,0.0,0.0
27,country,27c5f9be-6b51-4ddc-860f-0ed605e9d836,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,country,9393e707-e105-42b5-aaac-c2a524a7a589,0,0,0,33828.0,2251.0,6705.0,0.0,0.0,0.0
29,pop,17a635c3-c8ec-4dbd-a438-5e540d49e3a3,0,0,0,500.0,19.0,119.0,0.0,0.0,0.0
30,pop,01b387c3-0977-47a4-8def-1aae48b79447,0,0,0,128.0,131.0,6287.0,0.0,0.0,0.0
