Dateiname,Tag1,Tag1_P,Tag2,Tag2_P,Tag3,Tag3_P,Tag4,Tag4_P,Tag5,Tag5_P
1990_1193941c-de68-3299-95b9-87b0922e27b0_hip-hop.jpg;man,0.99580365,people,0.9950714,portrait,0.99046445,adult,0.98060584,retro,0.97954726,
1990_28d79e63-2e5a-404d-b95f-f1b383babcfe_country.jpg;people,0.98728335,group,0.9764385,recreation,0.97489434,wear,0.9693819,music,0.9692681,
1990_3950d762-f987-46ac-8044-86d90e40dd5d_country.jpg;people,0.9946355,adult,0.98490316,music,0.9836254,instrument,0.9548738,musician,0.9509851,
1990_3f6ba929-ff4a-4af8-a896-2803ca3112c0_rock.jpg;horizontal,0.9881192,illustration,0.95713866,pattern,0.9459184,abstract,0.9427576,paper,0.9331707,
1990_491ded48-ec70-42cd-bba3-7fc4b0115f56_rock.jpg;illustration,0.9645219,business,0.95559686,vector,0.9416451,symbol,0.9286045,image,0.92079073,
1990_498f132b-c8a3-4d51-a906-367704f692ae_country.jpg;business,0.97767895,text,0.9568026,time,0.9335933,paper,0.9265726,sign,0.9125187,
1990_55267b7f-24b1-3180-b988-4990e07f88c8_electronic.jpg;no person,0.9916605,retro,0.90907013,empty,0.8809286,dirty,0.8641574,education,0.8473441,
1990_67ebbc43-0415-4a07-90b9-3f8f8be296eb_hip-hop.jpg;people,0.99124396,man,0.98878145,portrait,0.98024595,adult,0.96203506,side view,0.9616966,
1990_83219409-a39c-3c3c-9928-06f0eac04423_electronic.jpg;no person,0.98018396,shining,0.97242236,bright,0.9529049,satin,0.9307645,silk,0.9225085,
1990_912a8e16-3730-46e4-847d-dfba119df13a_pop.jpg;nature,0.9898297,water,0.9780677,summer,0.97255766,outdoors,0.9706099,sky,0.96923745,
1990_d7bd5278-6a18-4542-a1be-34ab59d050b7_country.jpg;retro,0.96106744,no person,0.95047915,illustration,0.9447447,art,0.9354842,old,0.93470144,
1990_d8e9e0f9-7ced-4176-a935-cfac17409d10_rock.jpg;no person,0.97580135,nature,0.9683839,pattern,0.9489776,monochrome,0.930884,abstract,0.9275472,
1990_f4afbe11-984e-4865-9677-b244dce5c8ed_country.jpg;people,0.99797416,adult,0.9829078,woman,0.9773313,man,0.9636353,group,0.9596998,
1991_052c18c4-2fd7-4be8-bf9e-c538d131a039_electronic.jpg;illustration,0.98532224,vintage,0.97781354,retro,0.974041,antique,0.96286064,chalk out,0.9608295,
1991_1174e529-a321-4a65-8c02-6dcbd573a383_country.jpg;people,0.97648,bill,0.97532713,illustration,0.9701657,man,0.96647435,lithograph,0.95825034,
1991_18116341-4a97-4bf5-8a21-f40dbf3904dc_country.jpg;retro,0.9708351,no person,0.9663963,equipment,0.962003,instrument,0.9613112,classic,0.9531075,
1991_209058f3-4f55-4be0-81c4-a5c4f9ad9934_country.jpg;music,0.9840504,people,0.97478664,vehicle,0.9692576,musician,0.967533,festival,0.96487343,
1991_2369662f-fa9a-4d51-b68e-00133f6a32fe_electronic.jpg;people,0.99920124,man,0.9908633,adult,0.9883384,two,0.9779948,music,0.9620644,
