,genre,hash,histmax_b,histmax_g,histmax_r,med_b,med_g,med_r,std_b,std_g,std_r
0,country,e022d75b-efad-4e5d-a192-970888da9532,206,235,249,204.0,229.0,226.0,54.045650765776735,62.5973383991864,76.39834795124733
1,pop,db04b015-973a-4fe4-8b1a-2ac0ce0a248e,255,255,255,123.0,217.0,245.0,93.31549342022933,56.36284429254989,24.096611211238482
2,hip-hop,fea30be1-e7c0-4fd2-ae80-c8d06c8d6326,5,10,8,9.0,15.0,13.0,50.123913094852604,44.959806458424,71.96911188138823
3,country,254c7aa0-83c4-4ad0-9cb6-39cdff4934dd,42,43,47,43.0,44.0,48.0,45.182629612436855,54.180266371241984,57.291398216060465
4,country,f943cb70-14b3-4243-8144-1ad83a01aaa9,54,56,255,66.0,85.0,105.0,68.31666358257775,69.95308085087021,66.96483174320372
5,pop,9a1e5f83-4be0-48ff-8477-dce2e73a2ace,40,24,30,83.0,74.0,72.0,67.58470792336385,72.25707378947023,70.63370298071413
6,rock,a5f6128e-491b-3f5e-b9e4-21b4166eb5bc,229,223,229,225.0,220.0,223.0,40.27494509662522,38.39688227066026,34.59516251427439
7,hip-hop,3a2c6c46-5b25-4690-8bde-d4ce9f4d211f,20,19,11,74.0,85.0,88.0,68.56311027884357,85.13477537229205,91.55497612741834
8,hip-hop,0584c25b-a8a9-4f0a-8e1b-2ad1549e5ffe,253,254,252,160.0,161.0,158.0,111.75580563890212,104.61887804269293,94.05859295823676
9,hip-hop,25b6299e-1ab1-440b-b204-5306b399d5c6,255,255,255,81.0,137.0,174.0,84.65738995256879,100.89937143240138,103.67656655268635
10,country,7b4dbfb2-0a09-44f2-9b6f-be5578f0b534,54,56,66,73.0,93.0,136.0,33.6711758187031,42.851715766400766,47.30455218842787
11,hip-hop,fec9289e-3a84-4f9f-9553-3d91c2d27ad7,239,222,195,224.0,201.0,174.0,81.07142473145802,74.58796880490965,66.67658083710951
12,rock,30214efe-bc85-48c3-b5a1-39d50fd3dd11,68,42,0,65.0,42.0,2.0,50.85425386708034,54.52532184585052,62.99601767007677
