,filename,genre,hash,minNeighbors,people,scaleFactor
0,"['1990_1193941c-de68-3299-95b9-87b0922e27b0_hip-hop', 'jpg']",hip-hop,1193941c-de68-3299-95b9-87b0922e27b0,4,0,1.09
1,"['1990_28d79e63-2e5a-404d-b95f-f1b383babcfe_country', 'jpg']",country,28d79e63-2e5a-404d-b95f-f1b383babcfe,4,0,1.09
2,"['1990_3950d762-f987-46ac-8044-86d90e40dd5d_country', 'jpg']",country,3950d762-f987-46ac-8044-86d90e40dd5d,4,0,1.09
3,"['1990_3f6ba929-ff4a-4af8-a896-2803ca3112c0_rock', 'jpg']",rock,3f6ba929-ff4a-4af8-a896-2803ca3112c0,4,0,1.09
4,"['1990_491ded48-ec70-42cd-bba3-7fc4b0115f56_rock', 'jpg']",rock,491ded48-ec70-42cd-bba3-7fc4b0115f56,4,0,1.09
5,"['1990_498f132b-c8a3-4d51-a906-367704f692ae_country', 'jpg']",country,498f132b-c8a3-4d51-a906-367704f692ae,4,1,1.09
6,"['1990_55267b7f-24b1-3180-b988-4990e07f88c8_electronic', 'jpg']",electronic,55267b7f-24b1-3180-b988-4990e07f88c8,4,0,1.09
7,"['1990_67ebbc43-0415-4a07-90b9-3f8f8be296eb_hip-hop', 'jpg']",hip-hop,67ebbc43-0415-4a07-90b9-3f8f8be296eb,4,0,1.09
8,"['1990_83219409-a39c-3c3c-9928-06f0eac04423_electronic', 'jpg']",electronic,83219409-a39c-3c3c-9928-06f0eac04423,4,0,1.09
9,"['1990_912a8e16-3730-46e4-847d-dfba119df13a_pop', 'jpg']",pop,912a8e16-3730-46e4-847d-dfba119df13a,4,0,1.09
10,"['1990_d7bd5278-6a18-4542-a1be-34ab59d050b7_country', 'jpg']",country,d7bd5278-6a18-4542-a1be-34ab59d050b7,4,0,1.09
11,"['1990_d8e9e0f9-7ced-4176-a935-cfac17409d10_rock', 'jpg']",rock,d8e9e0f9-7ced-4176-a935-cfac17409d10,4,0,1.09
12,"['1990_f4afbe11-984e-4865-9677-b244dce5c8ed_country', 'jpg']",country,f4afbe11-984e-4865-9677-b244dce5c8ed,4,2,1.09
13,"['1991_052c18c4-2fd7-4be8-bf9e-c538d131a039_electronic', 'jpg']",electronic,052c18c4-2fd7-4be8-bf9e-c538d131a039,4,1,1.09
14,"['1991_1174e529-a321-4a65-8c02-6dcbd573a383_country', 'jpg']",country,1174e529-a321-4a65-8c02-6dcbd573a383,4,1,1.09
