,file,hmax1,hmax2,hmax3,smax1,smax2,smax3,smed,sstd,vmax1,vmax2,vmax3,vmedian,vstd
0,2000_e022d75b-efad-4e5d-a192-970888da9532_country,0,110,40,90,80,70,8825.0,36018.03515625,90,80,40,19305.5,36852.83203125
1,2004_db04b015-973a-4fe4-8b1a-2ac0ce0a248e_pop,0,10,20,90,80,70,558.5,61870.62890625,90,80,70,99.5,49344.91796875
2,2003_fea30be1-e7c0-4fd2-ae80-c8d06c8d6326_hip-hop,40,30,20,90,80,70,7084.0,37947.57421875,50,40,30,22883.0,16036.4794921875
3,2009_254c7aa0-83c4-4ad0-9cb6-39cdff4934dd_country,10,0,110,80,90,70,10733.0,36917.875,10,60,20,14274.5,34758.10546875
4,1996_f943cb70-14b3-4243-8144-1ad83a01aaa9_country,10,0,20,80,90,70,3224.0,45331.3828125,20,30,90,22648.5,17426.8359375
5,2002_9a1e5f83-4be0-48ff-8477-dce2e73a2ace_pop,100,90,70,60,70,90,11925.5,28050.669921875,40,50,90,5487.5,38165.921875
6,1999_a5f6128e-491b-3f5e-b9e4-21b4166eb5bc_rock,100,110,0,90,80,70,32.0,71033.15625,90,80,70,4405.0,36176.5078125
7,2007_3a2c6c46-5b25-4690-8bde-d4ce9f4d211f_hip-hop,0,50,110,80,90,70,5285.5,35813.87890625,40,90,80,24432.5,16451.015625
8,2009_0584c25b-a8a9-4f0a-8e1b-2ad1549e5ffe_hip-hop,110,50,20,90,80,70,4182.5,46503.80859375,90,80,70,6617.5,41427.24609375
9,2005_25b6299e-1ab1-440b-b204-5306b399d5c6_hip-hop,0,110,10,90,80,70,1536.5,42464.55859375,90,40,50,18165.0,33528.96875
10,2002_7b4dbfb2-0a09-44f2-9b6f-be5578f0b534_country,10,0,20,90,80,40,2994.0,48856.49609375,60,20,70,23284.0,22794.47265625
11,2000_fec9289e-3a84-4f9f-9553-3d91c2d27ad7_hip-hop,110,80,70,80,70,90,15800.0,25829.771484375,90,40,80,7746.5,31760.517578125
12,2005_30214efe-bc85-48c3-b5a1-39d50fd3dd11_rock,40,110,30,70,80,60,8411.0,29489.947265625,90,80,70,8346.0,52645.5078125
13,2008_72c77ef7-aa04-44b2-ada4-ebb718bf53ac_country,0,10,20,90,80,70,4999.0,48307.3046875,90,60,80,18056.0,28628.119140625
14,2005_1915dbf5-31f1-486d-891d-9bdc92935cd9_hip-hop,0,30,40,90,80,0,2728.0,51635.05078125,80,90,70,22438.0,20161.529296875
15,1997_55c24dc9-d6bf-4fd6-b306-2b3f40c62927_hip-hop,70,20,10,70,60,90,1759.0,44223.078125,60,50,40,4024.0,53610.11328125
16,2001_73bb810c-5d15-45ef-8de9-65e38b1238f6_electronic,0,110,10,90,50,60,676.0,71491.328125,90,60,80,2177.5,63733.0
