,faces,filename,genre,hash,minNeighbors,scaleFactor
0,0,"['1990_010a7660-1f09-4fae-97b6-b1edd7b15c23_pop', 'jpg']",pop,010a7660-1f09-4fae-97b6-b1edd7b15c23,5,1.1
1,0,"['1990_010a7660-1f09-4fae-97b6-b1edd7b15c23_rock', 'jpg']",rock,010a7660-1f09-4fae-97b6-b1edd7b15c23,5,1.1
2,4,"['1990_0294a993-df39-4ae9-ae52-f71eb698a79f_pop', 'jpg']",pop,0294a993-df39-4ae9-ae52-f71eb698a79f,5,1.1
3,2,"['1990_02cb3417-947b-4d62-8f42-59c5c4020027_hip-hop', 'jpg']",hip-hop,02cb3417-947b-4d62-8f42-59c5c4020027,5,1.1
4,2,"['1990_02f3e7d2-3798-4ba3-8164-6d4000d7e5ef_hip-hop', 'jpg']",hip-hop,02f3e7d2-3798-4ba3-8164-6d4000d7e5ef,5,1.1
5,0,"['1990_04ffe287-7122-4430-b572-7a84db4d8066_country', 'jpg']",country,04ffe287-7122-4430-b572-7a84db4d8066,5,1.1
6,1,"['1990_0660a0a3-e248-4b66-a26a-7c4ef74e88df_country', 'jpg']",country,0660a0a3-e248-4b66-a26a-7c4ef74e88df,5,1.1
7,1,"['1990_06883963-13a1-4b4a-9919-f7f658d80077_country', 'jpg']",country,06883963-13a1-4b4a-9919-f7f658d80077,5,1.1
8,0,"['1990_07882999-1a8e-4d9b-9cba-667c0f84aa2a_rock', 'jpg']",rock,07882999-1a8e-4d9b-9cba-667c0f84aa2a,5,1.1
9,0,"['1990_0af94ac3-c3aa-46d7-bef4-06de700380c5_electronic', 'jpg']",electronic,0af94ac3-c3aa-46d7-bef4-06de700380c5,5,1.1
10,1,"['1990_0cc7ea8e-1f5b-4b9a-a054-e2c9ab8a28cd_country', 'jpg']",country,0cc7ea8e-1f5b-4b9a-a054-e2c9ab8a28cd,5,1.1
11,1,"['1990_0de30e42-1f0a-4591-b72f-5343fa6002e9_pop', 'jpg']",pop,0de30e42-1f0a-4591-b72f-5343fa6002e9,5,1.1
12,0,"['1990_0fdc7ecf-47a8-3f5d-bd85-2fd0a4f8438f_rock', 'jpg']",rock,0fdc7ecf-47a8-3f5d-bd85-2fd0a4f8438f,5,1.1
13,0,"['1990_10b3fb12-1014-4cbf-be18-3feea3a619ca_hip-hop', 'jpg']",hip-hop,10b3fb12-1014-4cbf-be18-3feea3a619ca,5,1.1
14,1,"['1990_10e2f3c0-140b-4342-9ad0-4f459bb6752c_rock', 'jpg']",rock,10e2f3c0-140b-4342-9ad0-4f459bb6752c,5,1.1
15,2,"['1990_1193941c-de68-3299-95b9-87b0922e27b0_hip-hop', 'jpg']",hip-hop,1193941c-de68-3299-95b9-87b0922e27b0,5,1.1
16,0,"['1990_143d6997-43ba-4787-b5fc-f5205ff1bfc0_rock', 'jpg']",rock,143d6997-43ba-4787-b5fc-f5205ff1bfc0,5,1.1
17,0,"['1990_177ff778-3f33-3f92-a949-95c99ee27145_electronic', 'jpg']",electronic,177ff778-3f33-3f92-a949-95c99ee27145,5,1.1
18,0,"['1990_18138722-2204-4d73-a4cc-65bb7337df50_rock', 'jpg']",rock,18138722-2204-4d73-a4cc-65bb7337df50,5,1.1
19,1,"['1990_1946d124-1c89-4555-a535-835525abab2a_country', 'jpg']",country,1946d124-1c89-4555-a535-835525abab2a,5,1.1
20,1,"['1990_1af96874-a467-4207-a66f-aa0c303b03a0_hip-hop', 'jpg']",hip-hop,1af96874-a467-4207-a66f-aa0c303b03a0,5,1.1
21,0,"['1990_1b0428f3-72e5-38d2-80fc-8a1fbbff303b_electronic', 'jpg']",electronic,1b0428f3-72e5-38d2-80fc-8a1fbbff303b,5,1.1
22,1,"['1990_1bd0e357-042b-4bd4-a35a-3cb12092b4b0_pop', 'jpg']",pop,1bd0e357-042b-4bd4-a35a-3cb12092b4b0,5,1.1
23,0,"['1990_1d7226d0-d449-3076-bf2b-6c1d699210e9_rock', 'jpg']",rock,1d7226d0-d449-3076-bf2b-6c1d699210e9,5,1.1
24,1,"['1990_1d7943c4-c2b0-4e31-b5a0-141c00c4de7d_rock', 'jpg']",rock,1d7943c4-c2b0-4e31-b5a0-141c00c4de7d,5,1.1
25,0,"['1990_1e36a7c3-47c3-34dc-9ead-e1fa4c51de1c_rock', 'jpg']",rock,1e36a7c3-47c3-34dc-9ead-e1fa4c51de1c,5,1.1
26,1,"['1990_2022a9b6-089f-4a5d-9a2c-7aaa42ca21f1_country', 'jpg']",country,2022a9b6-089f-4a5d-9a2c-7aaa42ca21f1,5,1.1
27,0,"['1990_204c26ad-c46c-4f87-bf56-a39a860125d8_hip-hop', 'jpg']",hip-hop,204c26ad-c46c-4f87-bf56-a39a860125d8,5,1.1
28,0,"['1990_21811621-02ba-436b-bbc7-a53d18d99477_pop', 'jpg']",pop,21811621-02ba-436b-bbc7-a53d18d99477,5,1.1
29,0,"['1990_21cf700f-a76e-4777-87af-199db0016ef8_rock', 'jpg']",rock,21cf700f-a76e-4777-87af-199db0016ef8,5,1.1
30,3,"['1990_2257d35c-f5a3-4ea2-901c-692b0a5e37fc_hip-hop', 'jpg']",hip-hop,2257d35c-f5a3-4ea2-901c-692b0a5e37fc,5,1.1
31,0,"['1990_25e56d88-dab0-4593-a18d-ca2515a131e8_hip-hop', 'jpg']",hip-hop,25e56d88-dab0-4593-a18d-ca2515a131e8,5,1.1
32,3,"['1990_27c79934-cc8e-4b70-b9e9-d98f62e2944c_country', 'jpg']",country,27c79934-cc8e-4b70-b9e9-d98f62e2944c,5,1.1
33,1,"['1990_2835fb58-18cf-45e1-9380-deaf252109c6_country', 'jpg']",country,2835fb58-18cf-45e1-9380-deaf252109c6,5,1.1
34,1,"['1990_288f553e-f970-4506-8450-88672bf22e87_country', 'jpg']",country,288f553e-f970-4506-8450-88672bf22e87,5,1.1
35,1,"['1990_28d79e63-2e5a-404d-b95f-f1b383babcfe_country', 'jpg']",country,28d79e63-2e5a-404d-b95f-f1b383babcfe,5,1.1
36,0,"['1990_2ba13425-7503-46e1-ae64-43a7dc2f742f_hip-hop', 'jpg']",hip-hop,2ba13425-7503-46e1-ae64-43a7dc2f742f,5,1.1
37,0,"['1990_2bc08829-389a-40b7-b644-dcbd59e50512_pop', 'jpg']",pop,2bc08829-389a-40b7-b644-dcbd59e50512,5,1.1
38,1,"['1990_2e4ee141-f448-4be7-ac87-2ef86e0aef56_electronic', 'jpg']",electronic,2e4ee141-f448-4be7-ac87-2ef86e0aef56,5,1.1
39,0,"['1990_3072eb02-f607-45d4-9ced-b3431eaf0a7e_rock', 'jpg']",rock,3072eb02-f607-45d4-9ced-b3431eaf0a7e,5,1.1
40,0,"['1990_30cda3fc-ce94-3ab2-b796-42683aba920b_pop', 'jpg']",pop,30cda3fc-ce94-3ab2-b796-42683aba920b,5,1.1
41,1,"['1990_3423ca62-7010-45f8-b91f-4f569ad389b0_hip-hop', 'jpg']",hip-hop,3423ca62-7010-45f8-b91f-4f569ad389b0,5,1.1
42,0,"['1990_34388203-3bf0-45be-9af8-2115b584513f_hip-hop', 'jpg']",hip-hop,34388203-3bf0-45be-9af8-2115b584513f,5,1.1
43,1,"['1990_35f1ee58-9e3c-4251-991e-9c47b42a3130_rock', 'jpg']",rock,35f1ee58-9e3c-4251-991e-9c47b42a3130,5,1.1
44,0,"['1990_3950d762-f987-46ac-8044-86d90e40dd5d_country', 'jpg']",country,3950d762-f987-46ac-8044-86d90e40dd5d,5,1.1
45,1,"['1990_3b4fbc80-3286-416d-ae32-35b96a4deab1_country', 'jpg']",country,3b4fbc80-3286-416d-ae32-35b96a4deab1,5,1.1
46,0,"['1990_3bd285c0-a681-4f31-90a8-1f17584302b8_hip-hop', 'jpg']",hip-hop,3bd285c0-a681-4f31-90a8-1f17584302b8,5,1.1
47,1,"['1990_3d37d164-8481-4c0d-a8f7-49fe08fd9844_rock', 'jpg']",rock,3d37d164-8481-4c0d-a8f7-49fe08fd9844,5,1.1
48,0,"['1990_3f6ba929-ff4a-4af8-a896-2803ca3112c0_rock', 'jpg']",rock,3f6ba929-ff4a-4af8-a896-2803ca3112c0,5,1.1
49,1,"['1990_406e3d68-19c6-48c8-bbbd-9e7b2b550588_rock', 'jpg']",rock,406e3d68-19c6-48c8-bbbd-9e7b2b550588,5,1.1
50,0,"['1990_42881692-ce43-47a5-848a-be0d8d97896f_rock', 'jpg']",rock,42881692-ce43-47a5-848a-be0d8d97896f,5,1.1
51,0,"['1990_442f8b2a-b4f0-42f9-9aad-f15c75b9b041_rock', 'jpg']",rock,442f8b2a-b4f0-42f9-9aad-f15c75b9b041,5,1.1
52,0,"['1990_44f40ac4-f647-4d27-9813-25b792b58f00_pop', 'jpg']",pop,44f40ac4-f647-4d27-9813-25b792b58f00,5,1.1
53,1,"['1990_47840458-09f4-4f06-94f1-37c7b19b54b7_pop', 'jpg']",pop,47840458-09f4-4f06-94f1-37c7b19b54b7,5,1.1
54,0,"['1990_491ded48-ec70-42cd-bba3-7fc4b0115f56_rock', 'jpg']",rock,491ded48-ec70-42cd-bba3-7fc4b0115f56,5,1.1
55,0,"['1990_498f132b-c8a3-4d51-a906-367704f692ae_country', 'jpg']",country,498f132b-c8a3-4d51-a906-367704f692ae,5,1.1
56,0,"['1990_4e6778c4-f0b2-421c-bcf8-d028808b625c_hip-hop', 'jpg']",hip-hop,4e6778c4-f0b2-421c-bcf8-d028808b625c,5,1.1
57,1,"['1990_4eb7f78a-a865-4e7f-939c-56bcd4165ebf_hip-hop', 'jpg']",hip-hop,4eb7f78a-a865-4e7f-939c-56bcd4165ebf,5,1.1
