,genre,gray_max,gray_med,gray_std,hash
0,pop,-0.864,-0.1298,0.2135,010a7660-1f09-4fae-97b6-b1edd7b15c23
1,rock,-0.864,-0.1298,0.2135,010a7660-1f09-4fae-97b6-b1edd7b15c23
2,pop,1.478,0.2827,1.0976,0294a993-df39-4ae9-ae52-f71eb698a79f
3,hip-hop,-1.0256,-1.0285,-0.3497,02cb3417-947b-4d62-8f42-59c5c4020027
4,hip-hop,-0.8943,-1.2053,1.055,02f3e7d2-3798-4ba3-8164-6d4000d7e5ef
5,country,-0.4602,-0.7338,-2.455,04ffe287-7122-4430-b572-7a84db4d8066
6,country,1.2761,1.756,0.7989,0660a0a3-e248-4b66-a26a-7c4ef74e88df
7,country,-0.541,-0.8517,-1.2128,06883963-13a1-4b4a-9919-f7f658d80077
8,rock,-0.6621,-0.557,0.5426,07882999-1a8e-4d9b-9cba-667c0f84aa2a
9,electronic,-0.9044,-0.8369,0.3154,0af94ac3-c3aa-46d7-bef4-06de700380c5
10,country,-1.0256,-0.336,1.5936,0cc7ea8e-1f5b-4b9a-a054-e2c9ab8a28cd
11,pop,1.5386,1.8297,2.4477,0de30e42-1f0a-4591-b72f-5343fa6002e9
12,rock,1.4881,2.0507,1.514,0fdc7ecf-47a8-3f5d-bd85-2fd0a4f8438f
13,hip-hop,-0.5208,-0.3066,-0.0106,10b3fb12-1014-4cbf-be18-3feea3a619ca
14,rock,-1.0256,0.5332,0.4552,10e2f3c0-140b-4342-9ad0-4f459bb6752c
15,hip-hop,-0.864,-0.7044,1.1629,1193941c-de68-3299-95b9-87b0922e27b0
16,rock,1.2862,1.5939,-1.7671,143d6997-43ba-4787-b5fc-f5205ff1bfc0
17,electronic,-0.541,-0.1445,-0.7007,177ff778-3f33-3f92-a949-95c99ee27145
18,rock,-0.8539,-1.2642,0.4058,18138722-2204-4d73-a4cc-65bb7337df50
19,country,-1.0256,0.1354,1.8116,1946d124-1c89-4555-a535-835525abab2a
20,hip-hop,1.4074,0.0028,1.3635,1af96874-a467-4207-a66f-aa0c303b03a0
21,electronic,-1.0256,-1.4852,3.2071,1b0428f3-72e5-38d2-80fc-8a1fbbff303b
22,pop,0.408,0.4448,-0.0976,1bd0e357-042b-4bd4-a35a-3cb12092b4b0
23,rock,-0.6419,-0.6602,0.3561,1d7226d0-d449-3076-bf2b-6c1d699210e9
24,rock,1.1449,0.9015,0.2252,1d7943c4-c2b0-4e31-b5a0-141c00c4de7d
25,rock,-1.0256,-1.4704,-0.3179,1e36a7c3-47c3-34dc-9ead-e1fa4c51de1c
26,country,-0.7631,0.1059,1.086,2022a9b6-089f-4a5d-9a2c-7aaa42ca21f1
27,hip-hop,0.8521,0.931,0.9174,204c26ad-c46c-4f87-bf56-a39a860125d8
