n;mean_accuracy;std_of_accuracy;k_neighbors;weights
2;23.0;0.20000000000000018;3;distance
2;23.0;0.20000000000000018;3;uniform
2;23.0;0.20000000000000018;4;distance
2;23.0;0.20000000000000018;4;uniform
2;23.0;0.20000000000000018;5;distance
2;23.0;0.20000000000000018;5;uniform
2;23.0;0.20000000000000018;6;distance
2;23.0;0.20000000000000018;6;uniform
2;23.0;0.20000000000000018;7;distance
2;23.0;0.20000000000000018;7;uniform
2;23.0;0.20000000000000018;8;distance
2;23.0;0.20000000000000018;8;uniform
2;23.0;0.20000000000000018;9;distance
2;23.0;0.20000000000000018;9;uniform
2;23.0;0.20000000000000018;10;distance
2;23.0;0.20000000000000018;10;uniform
2;23.0;0.20000000000000018;15;distance
2;23.0;0.20000000000000018;15;uniform
2;23.0;0.20000000000000018;20;distance
2;23.0;0.20000000000000018;20;uniform
2;23.0;0.20000000000000018;25;distance
2;23.0;0.20000000000000018;25;uniform
2;23.0;0.20000000000000018;30;distance
2;23.0;0.20000000000000018;30;uniform
3;22.382650029708852;1.251529299918624;3;distance
3;22.382650029708852;1.251529299918624;3;uniform
3;22.382650029708852;1.251529299918624;4;distance
3;22.382650029708852;1.251529299918624;4;uniform
3;22.382650029708852;1.251529299918624;5;distance
3;22.382650029708852;1.251529299918624;5;uniform
3;22.382650029708852;1.251529299918624;6;distance
3;22.382650029708852;1.251529299918624;6;uniform
3;22.382650029708852;1.251529299918624;7;distance
3;22.382650029708852;1.251529299918624;7;uniform
3;22.382650029708852;1.251529299918624;8;distance
3;22.382650029708852;1.251529299918624;8;uniform
3;22.382650029708852;1.251529299918624;9;distance
3;22.382650029708852;1.251529299918624;9;uniform
3;22.382650029708852;1.251529299918624;10;distance
3;22.382650029708852;1.251529299918624;10;uniform
3;22.382650029708852;1.251529299918624;15;distance
3;22.382650029708852;1.251529299918624;15;uniform
3;22.382650029708852;1.251529299918624;20;distance
3;22.382650029708852;1.251529299918624;20;uniform
3;22.382650029708852;1.251529299918624;25;distance
3;22.382650029708852;1.251529299918624;25;uniform
3;22.382650029708852;1.251529299918624;30;distance
3;22.382650029708852;1.251529299918624;30;uniform
4;24.0;2.4000000000000012;3;distance
4;24.0;2.4000000000000012;3;uniform
4;24.0;2.4000000000000012;4;distance
4;24.0;2.4000000000000012;4;uniform
4;24.0;2.4000000000000012;5;distance
4;24.0;2.4000000000000012;5;uniform
4;24.0;2.4000000000000012;6;distance
4;24.0;2.4000000000000012;6;uniform
4;24.0;2.4000000000000012;7;distance
4;24.0;2.4000000000000012;7;uniform
4;24.0;2.4000000000000012;8;distance
4;24.0;2.4000000000000012;8;uniform
4;24.0;2.4000000000000012;9;distance
4;24.0;2.4000000000000012;9;uniform
4;24.0;2.4000000000000012;10;distance
4;24.0;2.4000000000000012;10;uniform
4;24.0;2.4000000000000012;15;distance
4;24.0;2.4000000000000012;15;uniform
4;24.0;2.4000000000000012;20;distance
4;24.0;2.4000000000000012;20;uniform
4;24.0;2.4000000000000012;25;distance
4;24.0;2.4000000000000012;25;uniform
4;24.0;2.4000000000000012;30;distance
4;24.0;2.4000000000000012;30;uniform
5;22.400000000000002;3.136877428271625;3;distance
5;22.400000000000002;3.136877428271625;3;uniform
5;22.400000000000002;3.136877428271625;4;distance
5;22.400000000000002;3.136877428271625;4;uniform
5;22.400000000000002;3.136877428271625;5;distance
5;22.400000000000002;3.136877428271625;5;uniform
5;22.400000000000002;3.136877428271625;6;distance
5;22.400000000000002;3.136877428271625;6;uniform
5;22.400000000000002;3.136877428271625;7;distance
5;22.400000000000002;3.136877428271625;7;uniform
5;22.400000000000002;3.136877428271625;8;distance
5;22.400000000000002;3.136877428271625;8;uniform
5;22.400000000000002;3.136877428271625;9;distance
5;22.400000000000002;3.136877428271625;9;uniform
5;22.400000000000002;3.136877428271625;10;distance
5;22.400000000000002;3.136877428271625;10;uniform
5;22.400000000000002;3.136877428271625;15;distance
5;22.400000000000002;3.136877428271625;15;uniform
5;22.400000000000002;3.136877428271625;20;distance
5;22.400000000000002;3.136877428271625;20;uniform
5;22.400000000000002;3.136877428271625;25;distance
5;22.400000000000002;3.136877428271625;25;uniform
5;22.400000000000002;3.136877428271625;30;distance
5;22.400000000000002;3.136877428271625;30;uniform
6;22.205882352941174;1.6070284282142653;3;distance
6;22.205882352941174;1.6070284282142653;3;uniform
