n;mean_accuracy;std_of_accuracy;kernel
2;22.8;0.0;linear
3;23.790849673202615;0.6927197453019452;linear
4;22.6;0.6633249580710806;linear
5;23.0;4.242640687119284;linear
6;23.370098039215684;3.4100572200678503;linear
7;22.74829931972789;5.389987855919019;linear
8;22.051282051282055;6.371033850235105;linear
9;23.131313131313128;5.12669799614122;linear
2;22.8;0.0;poly
3;23.790849673202615;0.6927197453019452;poly
4;22.6;0.6633249580710806;poly
5;23.0;4.242640687119284;poly
6;23.370098039215684;3.4100572200678503;poly
7;22.74829931972789;5.389987855919019;poly
8;22.051282051282055;6.371033850235105;poly
9;23.131313131313128;5.12669799614122;poly
2;22.8;0.0;rbf
3;23.790849673202615;0.6927197453019452;rbf
4;22.6;0.6633249580710806;rbf
5;23.0;4.242640687119284;rbf
6;23.370098039215684;3.4100572200678503;rbf
7;22.74829931972789;5.389987855919019;rbf
8;22.051282051282055;6.371033850235105;rbf
9;23.131313131313128;5.12669799614122;rbf
