,predlabels,testlabels
0,country,country
1,rock,country
2,electronic,electronic
3,rock,electronic
4,hip-hop,country
5,hip-hop,electronic
6,electronic,country
7,pop,country
8,country,pop
9,hip-hop,electronic
10,hip-hop,hip-hop
11,country,pop
12,electronic,electronic
13,country,pop
14,electronic,rock
15,hip-hop,rock
16,rock,pop
17,pop,electronic
18,pop,electronic
19,electronic,rock
20,hip-hop,electronic
21,electronic,electronic
22,hip-hop,rock
23,rock,country
24,rock,hip-hop
25,pop,electronic
26,pop,pop
27,pop,rock
28,pop,pop
29,country,rock
30,country,pop
31,rock,hip-hop
32,pop,electronic
33,rock,hip-hop
34,hip-hop,hip-hop
35,rock,country
36,electronic,rock
37,rock,pop
38,electronic,electronic
39,electronic,electronic
40,electronic,hip-hop
41,hip-hop,rock
42,electronic,electronic
43,hip-hop,rock
44,country,hip-hop
45,rock,hip-hop
46,rock,pop
47,electronic,hip-hop
48,hip-hop,electronic
49,pop,electronic
50,hip-hop,hip-hop
51,country,rock
52,electronic,electronic
53,pop,hip-hop
54,rock,pop
55,electronic,electronic
56,country,rock
57,country,pop
58,rock,country
59,electronic,electronic
60,country,country
61,country,hip-hop
62,electronic,pop
63,rock,hip-hop
64,pop,hip-hop
65,rock,rock
66,electronic,rock
67,hip-hop,country
68,pop,pop
69,rock,rock
70,pop,rock
71,hip-hop,country
72,rock,rock
73,hip-hop,pop
74,pop,country
75,pop,country
76,country,rock
77,country,rock
78,rock,pop
79,electronic,electronic
80,country,country
81,pop,rock
82,country,country
83,hip-hop,electronic
84,rock,country
85,pop,hip-hop
86,electronic,country
87,country,country
88,rock,electronic
89,hip-hop,hip-hop
90,country,electronic
91,electronic,electronic
92,electronic,pop
93,electronic,electronic
94,electronic,electronic
95,rock,rock
96,pop,hip-hop
97,hip-hop,electronic
98,electronic,electronic
99,hip-hop,rock
