,predlabels,testlabels
0,rock,pop
1,country,hip-hop
2,country,rock
3,hip-hop,hip-hop
4,pop,country
5,country,pop
6,rock,hip-hop
7,country,hip-hop
8,hip-hop,electronic
9,hip-hop,hip-hop
10,rock,country
11,pop,rock
12,country,rock
13,rock,rock
14,electronic,pop
15,electronic,electronic
16,electronic,hip-hop
17,hip-hop,hip-hop
18,electronic,rock
19,rock,pop
20,rock,hip-hop
21,pop,rock
22,country,pop
23,electronic,pop
24,pop,rock
25,pop,rock
26,hip-hop,pop
27,hip-hop,rock
28,pop,hip-hop
29,hip-hop,country
30,country,hip-hop
31,hip-hop,electronic
32,hip-hop,rock
33,hip-hop,hip-hop
34,country,rock
35,pop,hip-hop
36,hip-hop,electronic
37,pop,hip-hop
38,country,country
39,rock,electronic
40,country,pop
41,hip-hop,hip-hop
42,electronic,hip-hop
43,rock,rock
44,pop,country
45,hip-hop,rock
46,country,country
47,country,country
48,hip-hop,country
49,hip-hop,electronic
50,country,electronic
51,hip-hop,hip-hop
52,rock,rock
53,electronic,country
54,electronic,pop
55,hip-hop,rock
56,hip-hop,pop
57,electronic,rock
58,country,hip-hop
59,country,electronic
60,hip-hop,country
61,rock,electronic
62,country,pop
63,country,pop
64,country,rock
65,electronic,pop
66,electronic,electronic
67,country,hip-hop
68,electronic,rock
69,hip-hop,hip-hop
70,electronic,pop
71,hip-hop,pop
72,country,rock
73,electronic,country
74,country,country
75,hip-hop,rock
76,country,hip-hop
77,rock,electronic
78,pop,pop
79,hip-hop,hip-hop
80,electronic,pop
81,electronic,hip-hop
82,rock,hip-hop
83,country,hip-hop
84,rock,pop
85,electronic,rock
86,hip-hop,hip-hop
87,rock,hip-hop
88,hip-hop,rock
89,hip-hop,hip-hop
90,country,hip-hop
91,electronic,rock
92,pop,pop
93,electronic,pop
94,electronic,country
95,hip-hop,pop
96,hip-hop,country
97,hip-hop,rock
98,country,country
99,hip-hop,pop
