,predlabels,testlabels
0,country,pop
1,country,country
2,hip-hop,pop
3,hip-hop,hip-hop
4,hip-hop,country
5,rock,rock
6,country,rock
7,hip-hop,country
8,electronic,rock
9,hip-hop,electronic
10,country,pop
11,electronic,electronic
12,pop,rock
13,country,country
14,hip-hop,hip-hop
15,hip-hop,country
16,rock,pop
17,hip-hop,hip-hop
18,hip-hop,hip-hop
19,hip-hop,pop
20,electronic,electronic
21,hip-hop,rock
22,rock,pop
23,hip-hop,rock
24,hip-hop,rock
25,electronic,pop
26,hip-hop,pop
27,hip-hop,electronic
28,hip-hop,pop
29,electronic,rock
30,hip-hop,rock
31,hip-hop,hip-hop
32,hip-hop,rock
33,pop,electronic
34,rock,pop
35,hip-hop,rock
36,hip-hop,country
37,hip-hop,rock
38,rock,pop
39,rock,rock
40,hip-hop,electronic
41,hip-hop,country
42,electronic,rock
43,electronic,rock
44,hip-hop,hip-hop
45,electronic,hip-hop
46,electronic,electronic
47,electronic,hip-hop
48,hip-hop,rock
49,electronic,hip-hop
50,pop,hip-hop
51,hip-hop,country
52,country,country
53,rock,country
54,rock,hip-hop
55,rock,electronic
56,rock,electronic
57,electronic,country
58,hip-hop,hip-hop
59,hip-hop,rock
60,hip-hop,electronic
61,rock,hip-hop
62,pop,rock
63,electronic,country
64,electronic,hip-hop
65,pop,country
66,rock,country
67,country,rock
68,pop,electronic
69,rock,electronic
70,hip-hop,hip-hop
71,hip-hop,electronic
72,electronic,rock
73,electronic,electronic
74,hip-hop,pop
75,rock,electronic
76,hip-hop,hip-hop
77,rock,electronic
78,pop,country
79,pop,country
80,electronic,electronic
81,hip-hop,hip-hop
82,hip-hop,pop
83,hip-hop,electronic
84,hip-hop,rock
85,hip-hop,rock
86,country,electronic
87,country,electronic
88,country,rock
89,electronic,electronic
90,rock,country
91,electronic,electronic
92,hip-hop,rock
93,hip-hop,hip-hop
94,electronic,country
95,rock,country
96,electronic,hip-hop
97,hip-hop,hip-hop
98,hip-hop,hip-hop
99,rock,rock
