,hash,genre,faces_zs,gray_max_zs,gray_med_zs,gray_std_zs,max_b_zs,max_g_zs,max_r_zs,med_b_zs,med_g_zs,med_r_zs,std_b,std_g,std_r,hmax1_zs,hmax2_zs,hmax3_zs,smax1_zs,smax2_zs,smax3_zs,smed_zs,sstd,vmax1_zs,vmax2_zs,vmax3_zs,vmed_zs,vstd,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21,comp_22,comp_23,comp_24,comp_25
0,010a7660-1f09-4fae-97b6-b1edd7b15c23,pop,-0.5529,-0.8640,-0.1298,0.2135,-0.3228,-0.8627,-1.0287,1.5505,-0.0309,-0.8547,65.6887,69.0222,63.9534,1.7502,-0.0433,-1.0897,-1.91,-1.4763,0.3761,1.3389,59.1733,0.9215,0.8224,0.5377,0.9358,65.7069,0.9597,-2.1996,-0.3660,0.4217,0.4765,0.2369,0.1911,-0.4481,-0.0338,-0.6463,0.3281,-0.6484,-0.1226,0.0151,0.5592,0.2935,-0.3756,0.4547,0.1496,0.7757,0.0139,-0.5376,-0.1307,-0.0762,-0.0115
1,010a7660-1f09-4fae-97b6-b1edd7b15c23,rock,-0.5529,-0.8640,-0.1298,0.2135,-0.3228,-0.8627,-1.0287,1.5505,-0.0309,-0.8547,65.6887,69.0222,63.9534,1.7502,-0.0433,-1.0897,-1.91,-1.4763,0.3761,1.3389,59.1733,0.9215,0.8224,0.5377,0.9358,65.7069,0.9597,-2.1996,-0.3660,0.4217,0.4765,0.2369,0.1911,-0.4481,-0.0338,-0.6463,0.3281,-0.6484,-0.1226,0.0151,0.5592,0.2935,-0.3756,0.4547,0.1496,0.7757,0.0139,-0.5376,-0.1307,-0.0762,-0.0115
2,0294a993-df39-4ae9-ae52-f71eb698a79f,pop,3.0042,1.4780,0.2827,1.0976,1.6256,-0.9798,-1.129,0.6729,-0.1018,0.8358,75.4666,83.9870,98.0431,0.1302,1.4496,1.4623,0.4601,0.3971,-1.0786,0.863,80.7312,0.9215,0.8224,0.5377,1.0729,82.9600,-1.6699,-0.0919,0.1603,-0.1479,-0.0652,-0.5331,-0.7521,1.0351,1.0807,-0.0540,-0.3058,0.1632,-0.8859,-0.2004,-0.1368,0.5213,-0.5868,0.1018,0.4031,0.0110,0.8398,-0.5032,-0.1402,0.0578,0.6753
3,02cb3417-947b-4d62-8f42-59c5c4020027,hip-hop,1.2257,-1.0256,-1.0285,-0.3497,-0.8964,-0.9798,-1.129,-1.1395,-0.9954,-0.9218,47.4684,53.9622,69.7537,-0.1012,-1.1433,-0.3488,0.4601,0.3971,0.3761,1.3707,88.3444,0.9215,0.8224,0.0659,-1.0791,69.0219,-1.5718,0.2582,-0.4528,-0.5054,1.0260,-0.6045,-0.4348,0.0964,0.7076,0.3832,-0.5191,0.2597,-0.0003,-0.5544,0.1690,0.1979,-0.0566,0.3044,-0.0207,-0.0018,-0.5413,0.0668,-0.0589,-0.0773,-0.2829
4,02f3e7d2-3798-4ba3-8164-6d4000d7e5ef,hip-hop,1.2257,-0.8943,-1.2053,1.055,-0.7381,-0.8431,-1.0104,-0.9669,-1.1089,-1.2573,73.8515,83.5247,91.0142,0.7474,1.6068,0.7214,-0.1324,0.8654,0.3761,-0.6601,70.4864,-1.0092,0.8224,0.5377,-1.4080,89.6585,1.0004,-0.1891,1.2270,-0.9438,0.9338,0.3477,-0.6409,-0.4454,-0.4248,-0.4164,-0.0998,0.4390,-0.3100,-0.4197,-0.5609,0.2746,0.5429,-0.0521,-0.3305,-0.1953,-0.0753,1.2203,0.6870,0.0024,0.1275
5,04ffe287-7122-4430-b572-7a84db4d8066,country,-0.5529,-0.4602,-0.7338,-2.455,-0.4513,-0.4526,-0.5088,-0.6792,-0.6975,-0.6803,16.0473,16.3988,25.4854,-0.4097,-0.5148,-0.6781,-0.1324,0.8654,0.3761,0.0539,30.1317,-1.3954,-1.7523,-0.8777,-0.8735,26.2573,0.9428,-0.8746,1.3476,-0.1170,0.1798,0.5261,0.4473,0.0263,-0.1985,-0.3627,-0.4534,0.7568,0.2016,-0.9020,-0.1300,0.1718,0.2894,-0.4313,-0.3409,0.0798,-0.1726,-0.3227,-0.0218,-0.0675,-0.3385
6,0660a0a3-e248-4b66-a26a-7c4ef74e88df,country,0.3364,1.2761,1.756,0.7989,1.0717,1.1972,1.1965,1.4929,1.6712,1.7213,74.9773,82.9566,76.9599,-0.8726,-1.1433,-0.6781,0.4601,0.3971,0.3761,-0.5489,67.9637,0.9215,-0.0358,1.0095,1.58,76.9645,-0.2730,1.9351,1.0020,0.6019,0.1782,0.5470,-0.0102,0.0985,-0.3965,-0.6390,0.3477,-0.4139,0.6495,-0.2511,-0.1837,-0.0266,-0.2161,-0.1073,0.3788,0.3740,0.1446,-0.5505,-0.1863,-0.0275,0.1406
7,06883963-13a1-4b4a-9919-f7f658d80077,country,0.3364,-0.541,-0.8517,-1.2128,-0.4118,-0.4917,-0.7095,-0.6073,-0.7401,-0.9755,38.6482,39.7890,38.5313,1.0559,0.821,1.0507,-0.1324,-0.0713,-0.1088,-1.0567,27.3724,-1.3954,-0.8941,-0.4059,-1.1065,39.3883,-1.0086,0.6911,-0.0184,0.1018,0.0105,-0.0402,0.4591,-0.9136,-0.1943,0.7122,0.9421,0.0522,-0.1542,-0.5919,-0.6417,-0.4459,0.5342,-0.0925,0.4994,-0.3804,-0.5218,-0.3332,-0.6060,0.7598,-0.3329
8,07882999-1a8e-4d9b-9cba-667c0f84aa2a,rock,-0.5529,-0.6621,-0.557,0.5426,-0.8964,-0.6772,1.1965,-0.1757,-0.4848,-1.0426,51.4553,72.4468,104.7904,0.2074,-0.2005,-0.7604,0.4601,-1.008,-1.0786,1.4024,58.1290,0.9215,-0.0358,1.0095,-0.243,78.3292,1.8747,1.0746,-1.0272,0.4469,-0.2848,-0.2527,0.5034,0.0949,0.7397,-0.0761,-0.6560,0.0219,0.1565,-0.6021,-0.1665,-0.1118,1.0009,-0.3944,-0.3302,0.2295,0.4632,0.1516,-0.6410,-0.1411,0.2572
9,0af94ac3-c3aa-46d7-bef4-06de700380c5,electronic,-0.5529,-0.9044,-0.8369,0.3154,-0.7777,-0.9017,-0.9466,-0.7511,-0.7685,-1.0023,70.4177,71.8111,68.6514,-0.1012,-0.3576,-1.0897,0.4601,0.3971,-0.5937,0.387,64.2307,-0.237,-0.4649,-0.8777,-0.9694,74.2713,0.9149,-1.2425,-0.5687,0.0140,0.7329,0.3461,-0.1848,-0.1204,-0.2889,0.0991,0.0247,0.6059,-0.5236,-0.0491,0.0620,-0.0931,-0.2821,0.0294,-0.2256,-0.0405,-0.2744,-0.1065,0.0082,-0.0694,0.4133
